"CTYNAME","pop2018","GrowthRate"
"MONTGOMERY","1052570","7.8136"
"Prince George's","909308","5.0316"
"BALTIMORE","828431","2.7116"
"Baltimore city","602495","-2.9807"
"Anne Arundel","576031","6.8154"
"HOWARD","323196","11.9767"
"Frederick","255648","9.1561"
"Harford","253956","3.5562"
"Carroll","168429","0.7278"
"Charles","161503","9.7495"
"Washington","150926","2.1606"
"St. Mary's","112664","6.5260"
"Wicomico","103195","4.2679"
"Cecil","102826","1.6399"
"Calvert","92003","3.3881"
"Allegany","70975","-5.3237"
"Worcester","51823","0.6252"
"Queen Anne's","50251","5.1078"
"Talbot","36968","-2.3921"
"Caroline","33304","0.7563"
"Dorchester","31998","-2.1109"
"Garrett","29163","-3.2447"
"Somerset","25675","-2.9814"
"Kent","19383","-4.1015"
